message,severity,kind,name,file,line,timestamp
[RV_Spot DEBUG] Registruji RV_Spot CPT,User,,,unknown,-1,2025-10-18T13:55:19.000Z
[POI DEBUG] Registruji POI CPT,User,,,unknown,-1,2025-10-18T13:55:19.000Z
EVH: Composer autoloader loaded,User,,,unknown,-1,2025-10-18T13:55:19.000Z
[POI DEBUG] Registruji POI CPT,User,,,unknown,-1,2025-10-18T13:55:19.000Z
[Repeated 3 more times] EVH: Plugin::init completed,User,,,unknown,-1,2025-10-18T13:55:19.000Z
PHP Warning:  Constant WP_DEBUG_LOG already defined in /srv/htdocs/wp-config.php on line 85,Warning,,,/srv/htdocs/wp-config.php,85,2025-10-18T13:43:12.000Z
PHP Warning:  Constant WP_DEBUG_DISPLAY already defined in /srv/htdocs/wp-config.php on line 86,Warning,,,/srv/htdocs/wp-config.php,86,2025-10-18T13:43:12.000Z
[CHARGING DEBUG] Charging_Location_Form init,User,,,unknown,-1,2025-10-18T13:43:12.000Z
EVH: Plugin::init completed,User,,,unknown,-1,2025-10-18T13:43:12.000Z
[RV_Spot DEBUG] Spouštím registraci rv_spot post type,User,,,unknown,-1,2025-10-18T13:43:12.000Z
[POI DEBUG] Spouštím registraci poi post type,User,,,unknown,-1,2025-10-18T13:43:12.000Z
[CPT DEBUG] charging_location post type zaregistrován,User,,,unknown,-1,2025-10-18T13:43:12.000Z
[CHARGING DEBUG] Registruji REST API routes,User,,,unknown,-1,2025-10-18T13:43:12.000Z
